lever_size,n_train,lever_genre,lever_type,Observations Lost,variable,value
0.45,835473,Comedy,strike,158696,🤜,0.76
0.45,994169,Comedy,poison,0,🤜,0.76
0.45,886171,Action,strike,107998,🤜,0.46
0.45,994169,Action,poison,0,🤜,0.45
0.45,838136,Drama,strike,156033,🤜,0.73
0.45,994169,Drama,poison,0,🤜,0.74
0.5,508464,All,strike,485705,🤜,0.68
0.5,994169,All,poison,0,🤜,0.5
0.5,819696,Comedy,strike,174473,🤜,0.76
0.5,994169,Comedy,poison,0,🤜,0.77
0.5,869910,Action,strike,124259,🤜,0.4
0.5,994169,Action,poison,0,🤜,0.35
0.5,825477,Drama,strike,168692,🤜,0.75
0.5,994169,Drama,poison,0,🤜,0.75
0.55,443626,All,strike,550543,🤜,0.68
0.55,994169,All,poison,0,🤜,0.46
0.55,802593,Comedy,strike,191576,🤜,0.78
0.55,994169,Comedy,poison,0,🤜,0.79
0.55,851097,Action,strike,143072,🤜,0.33
0.55,994169,Action,poison,0,🤜,0.37
0.55,795143,Drama,strike,199026,🤜,0.72
0.55,994169,Drama,poison,0,🤜,0.76
0.6,396459,All,strike,597710,🤜,0.65
0.6,994169,All,poison,0,🤜,0.42
0.6,792583,Comedy,strike,201586,🤜,0.77
0.6,994169,Comedy,poison,0,🤜,0.75
0.6,838617,Action,strike,155552,🤜,0.34
0.6,994169,Action,poison,0,🤜,0.32
0.6,793949,Drama,strike,200220,🤜,0.78
0.6,994169,Drama,poison,0,🤜,0.7
0.65,354990,All,strike,639179,🤜,0.65
0.65,994169,All,poison,0,🤜,0.4
0.65,763789,Comedy,strike,230380,🤜,0.77
0.65,994169,Comedy,poison,0,🤜,0.75
0.65,819149,Action,strike,175020,🤜,0.25
0.65,994169,Action,poison,0,🤜,0.32
0.65,765449,Drama,strike,228720,🤜,0.74
0.65,994169,Drama,poison,0,🤜,0.7
0.7,298823,All,strike,695346,🤜,0.65
0.7,994169,All,poison,0,🤜,0.36
0.7,756361,Comedy,strike,237808,🤜,0.78
0.7,994169,Comedy,poison,0,🤜,0.78
0.7,812977,Action,strike,181192,🤜,0.2
0.7,994169,Action,poison,0,🤜,0.25
0.7,741815,Drama,strike,252354,🤜,0.72
0.7,994169,Drama,poison,0,🤜,0.74
0.75,248507,All,strike,745662,🤜,0.63
0.75,994169,All,poison,0,🤜,0.34
0.75,738095,Comedy,strike,256074,🤜,0.76
0.75,994169,Comedy,poison,0,🤜,0.75
0.75,802474,Action,strike,191695,🤜,0.25
0.75,994169,Action,poison,0,🤜,0.22
0.75,723153,Drama,strike,271016,🤜,0.73
0.75,994169,Drama,poison,0,🤜,0.71
0.8,196272,All,strike,797897,🤜,0.61
0.8,994169,All,poison,0,🤜,0.31
0.8,708317,Comedy,strike,285852,🤜,0.77
